Start Year,Region,Total Deaths,No Affected,Total Damages ('000 US$),Insured Damages ('000 US$)
1988,Australia and New Zealand,17.0,1958.0,68055.0,0.0
1988,Caribbean,50.0,1284850.0,440.0,0.0
1988,Central America,59.0,70260.0,9000.0,0.0
1988,Eastern Africa,93.0,75368.0,0.0,0.0
1988,Eastern Asia,1270.0,25525000.0,1963208.0,0.0
1988,Middle Africa,45.0,58450.0,0.0,0.0
1988,Northern Africa,96.0,1500000.0,0.0,0.0
1988,Northern America,2.0,0.0,15000.0,180000.0
1988,Northern Europe,0.0,280.0,0.0,0.0
1988,Russian Federation,0.0,0.0,0.0,0.0
1988,South America,904.0,7815480.0,1520000.0,0.0
1988,South-Eastern Asia,870.0,1272941.0,173746.0,0.0
1988,Southern Africa,33.0,12000.0,0.0,53000.0
1988,Southern Asia,4853.0,67632000.0,3494200.0,0.0
1988,Western Africa,183.0,171324.0,10200.0,0.0
1988,Western Asia,13.0,1000.0,0.0,0.0
1988,Western Europe,16.0,3800.0,500000.0,0.0
1989,Australia and New Zealand,9.0,154.0,0.0,0.0
1989,Caribbean,0.0,24930.0,0.0,0.0
1989,Central America,60.0,0.0,0.0,0.0
1989,Eastern Africa,81.0,1144656.0,1100.0,0.0
1989,Eastern Asia,2013.0,100001142.0,2789000.0,0.0
1989,Melanesia,10.0,0.0,0.0,0.0
1989,Middle Africa,0.0,100000.0,0.0,0.0
1989,Russian Federation,17.0,0.0,640000.0,0.0
1989,South America,247.0,730000.0,15000.0,0.0
1989,South-Eastern Asia,62.0,369000.0,6000.0,0.0
1989,Southern Asia,2134.0,792400.0,37000.0,0.0
1989,Southern Europe,12.0,0.0,375000.0,0.0
1989,Western Africa,8.0,24435.0,0.0,0.0
1989,Western Asia,63.0,260000.0,33000.0,0.0
1990,Australia and New Zealand,12.0,6000.0,273700.0,0.0
1990,Caribbean,4.0,5000.0,0.0,0.0
1990,Central America,54.0,166211.0,146200.0,0.0
1990,Central Asia,0.0,280.0,0.0,0.0
1990,Eastern Africa,233.0,492000.0,280.0,0.0
1990,Eastern Asia,649.0,42189233.0,2541000.0,36200.0
1990,Middle Africa,23.0,15000.0,0.0,0.0
1990,Northern Africa,37.0,152000.0,242800.0,0.0
1990,Northern America,46.0,3350.0,53500.0,45000.0
1990,Russian Federation,19.0,23208.0,177900.0,0.0
1990,South America,116.0,43025.0,0.0,0.0
1990,South-Eastern Asia,449.0,743736.0,5568.0,0.0
1990,Southern Africa,22.0,0.0,0.0,0.0
1990,Southern Asia,518.0,2452500.0,83400.0,0.0
1990,Southern Europe,0.0,0.0,766100.0,0.0
1990,Western Asia,69.0,4500.0,150000.0,0.0
1991,Australia and New Zealand,0.0,248.0,0.0,0.0
1991,Caribbean,25.0,550000.0,30000.0,0.0
1991,Central America,36.0,185000.0,2000.0,0.0
1991,Eastern Africa,472.0,0.0,24000.0,0.0
1991,Eastern Asia,1915.0,206000000.0,8149120.0,0.0
1991,Eastern Europe,108.0,7000.0,50000.0,0.0
1991,Middle Africa,41.0,0.0,0.0,0.0
1991,Northern Africa,1.0,0.0,0.0,0.0
1991,Northern America,15.0,0.0,850000.0,1038000.0
1991,Russian Federation,2.0,42000.0,2022000.0,0.0
1991,South America,20.0,18500.0,2000.0,0.0
1991,South-Eastern Asia,517.0,1891450.0,294118.0,0.0
1991,Southern Asia,2632.0,11520450.0,931400.0,48000.0
1991,Western Africa,8.0,2000000.0,0.0,0.0
1991,Western Asia,50.0,18500.0,25000.0,0.0
1991,Western Europe,10.0,0.0,138000.0,0.0
1992,Caribbean,21.0,9927.0,202590.0,0.0
1992,Central America,2.0,8000.0,0.0,0.0
1992,Central Asia,1346.0,63500.0,300000.0,0.0
1992,Eastern Asia,550.0,211655.0,559100.0,0.0
1992,Eastern Europe,0.0,0.0,48100.0,0.0
1992,Melanesia,0.0,90000.0,0.0,0.0
1992,Northern Africa,21.0,0.0,900.0,0.0
1992,South America,178.0,370998.0,755800.0,2500.0
1992,South-Eastern Asia,207.0,1169721.0,198843.0,0.0
1992,Southern Asia,2973.0,13390363.0,5035330.0,200.0
1992,Southern Europe,14.0,36000.0,704300.0,0.0
1992,Western Europe,3.0,0.0,57700.0,8300.0
1993,Australia and New Zealand,1.0,15000.0,4600.0,0.0
1993,Caribbean,103.0,569290.0,151070.0,0.0
1993,Central America,487.0,345947.0,209700.0,0.0
1993,Central Asia,10.0,30300.0,136402.0,0.0
1993,Eastern Africa,56.0,251513.0,3510.0,0.0
1993,Eastern Asia,1231.0,11800.0,6088000.0,0.0
1993,Eastern Europe,147.0,379300.0,373000.0,0.0
1993,Melanesia,0.0,14000.0,2500.0,0.0
1993,Northern Africa,43.0,0.0,200.0,0.0
1993,Northern America,98.0,44100.0,12290000.0,930000.0
1993,Northern Europe,7.0,4100.0,225000.0,75000.0
1993,South America,252.0,300993.0,1126000.0,34000.0
1993,South-Eastern Asia,319.0,1509396.0,2049851.0,0.0
1993,Southern Africa,12.0,0.0,0.0,0.0
1993,Southern Asia,3343.0,145265613.0,8926610.0,0.0
1993,Western Africa,0.0,11066.0,0.0,0.0
1993,Western Asia,31.0,9000.0,1500.0,0.0
1993,Western Europe,10.0,113600.0,1280000.0,530000.0
1994,Australia and New Zealand,0.0,157.0,0.0,0.0
1994,Caribbean,12.0,38600.0,0.0,0.0
1994,Central America,163.0,2600.0,3000.0,0.0
1994,Central Asia,0.0,5000.0,0.0,0.0
1994,Eastern Africa,280.0,143000.0,5619.0,0.0
1994,Eastern Asia,1570.0,105904000.0,7576100.0,0.0
1994,Eastern Europe,95.0,822204.0,584000.0,0.0
1994,Middle Africa,45.0,16500.0,0.0,0.0
1994,Northern Africa,648.0,117825.0,140000.0,0.0
1994,Northern America,37.0,14000.0,700000.0,700000.0
1994,Northern Europe,7.0,700.0,236000.0,46900.0
1994,South America,148.0,98519.0,50000.0,2000.0
1994,South-Eastern Asia,1039.0,1832413.0,501387.0,0.0
1994,Southern Africa,0.0,11000.0,0.0,0.0
1994,Southern Asia,2508.0,13260700.0,409000.0,0.0
1994,Southern Europe,92.0,8000.0,9737700.0,0.0
1994,Western Africa,112.0,270500.0,66500.0,0.0
1994,Western Europe,15.0,545.0,493500.0,0.0
1995,Caribbean,0.0,33180.0,0.0,0.0
1995,Central America,54.0,36700.0,11500.0,0.0
1995,Eastern Africa,51.0,104225.0,500.0,0.0
1995,Eastern Asia,1686.0,131212000.0,21794300.0,79200.0
1995,Eastern Europe,2.0,1700000.0,3400.0,0.0
1995,Middle Africa,2.0,42300.0,0.0,0.0
1995,Northern Africa,798.0,38000.0,51200.0,0.0
1995,Northern America,19.0,120900.0,3318300.0,44000.0
1995,Northern Europe,1.0,4000.0,300000.0,126600.0
1995,South America,207.0,277500.0,3000.0,0.0
1995,South-Eastern Asia,1151.0,5603822.0,977842.0,0.0
1995,Southern Africa,227.0,8000.0,10000.0,0.0
1995,Southern Asia,3515.0,48933331.0,733052.0,0.0
1995,Southern Europe,4.0,5000.0,245000.0,0.0
1995,Western Africa,168.0,725408.0,15600.0,0.0
1995,Western Asia,69.0,1803300.0,91900.0,0.0
1995,Western Europe,2.0,0.0,200.0,0.0
1996,Australia and New Zealand,5.0,12700.0,336300.0,0.0
1996,Caribbean,24.0,11106.0,0.0,0.0
1996,Central America,13.0,104000.0,281000.0,0.0
1996,Central Asia,0.0,180000.0,0.0,0.0
1996,Eastern Africa,43.0,90100.0,0.0,0.0
1996,Eastern Asia,4333.0,153301865.0,21234500.0,0.0
1996,Eastern Europe,5.0,244060.0,334400.0,0.0
1996,Middle Africa,7.0,16000.0,0.0,0.0
1996,Northern Africa,193.0,106460.0,55000.0,0.0
1996,Northern America,82.0,243115.0,3449600.0,729900.0
1996,South America,27.0,243000.0,0.0,0.0
1996,South-Eastern Asia,489.0,7919889.0,715830.0,0.0
1996,Southern Africa,34.0,7000.0,6860.0,0.0
1996,Southern Asia,2364.0,14448774.0,240910.0,0.0
1996,Southern Europe,28.0,7550.0,621600.0,13000.0
